P. Atmosphere Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,Habitable
hydrogen-rich,1017.41,11.59,0.65,7.57,9.37,602.5,,,,664.8,85.2,0.44,0,0.44,F7 V,1.4,2.14,6196,6.055681,0.18,2.04,-2.13,8.15,5.65,0.09,,0
hydrogen-rich,2161.99,11.68,1.36,15.86,13.61,97.9,,,,2936.8,4951,5.6,0.85,2.95,G4V,0.96,0.88,5940,0.868181,,,6.23,9.89,20.26,0.04,,0
hydrogen-rich,540.5,11.08,0.4,4.4,6.98,749.4,,,,214.8,157.57,0.76,0.09,0.76,G9III,2.4,9.3,4861,43.326968,0.15,,-2.19,7.19,3.2,0.11,,0
metals-rich,305.22,10.19,0.29,2.94,5.47,1642.2,,,,87.9,6.5,0.081,0.05,0.08,A,1.68,4.4,5054,11.332774,0.19,2.3,-2.37,6.41,0.88,0.13,,0
hydrogen-rich,1621.49,11.68,1.02,11.88,11.78,112.3,,,,1648.7,1928,3.03,0.53,2.57,K0 V,0.99,0.7,5382,0.374148,0.19,13.3,6.14,9.09,18.7,0.04,,0
hydrogen-rich,359.27,10.48,0.31,3.27,5.85,842.3,,,,112,12.62,0.11,0.02,0.11,G0V,1.12,1.07,6123,1.446146,0.05,1.25,-2.31,6.63,2.17,0.12,,0
hydrogen-rich,298.86,10.16,0.29,2.9,5.42,1295.4,,,,85.3,6.84,0.077,0.3,0.07,G0IV,1.28,1.88,5980,4.055181,0.11,4.2,-2.41,6.38,1.14,0.13,,0
hydrogen-rich,422.86,10.74,0.34,3.66,6.27,959.9,,,,144.2,7.13,0.073,0.13,0.07,G8 IV,1.02,1.08,5666,1.078558,0.37,7.32,-2.33,6.85,2.17,0.12,,0
hydrogen-rich,438.76,10.8,0.35,3.76,6.37,746.8,,,,152.9,88.9,0.46,0.05,0.46,KOIII,1.63,5.52,4890,15.631599,0,,-2.19,6.9,2.78,0.11,,0
hydrogen-rich,339.56,10.39,0.3,3.15,5.72,942.6,,,,102.9,5.05,0.057,0.02,0.06,G5V,0.95,0.86,5519,0.608825,0.23,2.4,-2.32,6.55,1.87,0.12,,0
metals-rich,22.26,6.5,0.08,0.53,1.85,1368.9,,,,1.8,10.5,0.1028,0,0.1,K,1.32,4.23,4840,8.809515,0.2,3.5,-2.33,5.72,-0.76,0.14,,0
hydrogen-rich,145.71,8.65,0.23,1.95,4.11,706.9,,,,32.8,49.18,0.292,0,0.29,G,0.87,2.19,5854,5.053461,-0.026,,-2.22,5.41,1.26,0.14,,0
hydrogen-rich,794.85,9.52,0.92,8.77,9.14,505.3,,,,732.3,69.75,0.37,0.83,0.2,F,1.22,1.4,6230,2.649098,0,2.8,-2.15,5.92,4.86,0.11,,0
hydrogen-rich,197.12,7.28,0.51,3.72,5.2,1017.5,,,,100.7,8.6,0.08,0,0.08,F,0.92,1.16,6060,1.628157,-0.46,,-2.37,3.81,1.42,0.18,,0
hydrogen-rich,203.48,7,0.59,4.15,5.39,822,,,,120.7,12.22,0.1031,0.5,0.09,G,0.98,1.09,5820,1.232016,-0.05,7,-2.31,3.52,1.75,0.18,,0
hydrogen-rich,763.06,11.42,0.51,5.85,8.17,643.9,,,,390.9,357.8,1.1,0.09,1.1,K2III,1.5,11.4,4538.2,49.457726,0.3,3.35,-2.1,7.69,4.49,0.1,,0
hydrogen-rich,305.22,10.19,0.29,2.94,5.47,60.9,,,,87.9,,3.86,0,3.86,,0.47,,,0.048797,,,31.59,6.41,11.82,0.03,,0
hydrogen-rich,279.79,10.03,0.28,2.78,5.28,52.5,,,,77.6,,1.89,0,1.89,,0.21,,,0.006421,,,43.5,6.29,12.37,0.02,,0
hydrogen-rich,540.5,11.08,0.4,4.4,6.98,702.8,,,,214.8,277.02,1.1,0.11,1.09,G8 III,2.17,12.3,4770,70.270595,-0.24,,-2.16,7.19,3.35,0.11,,0
hydrogen-rich,476.91,10.92,0.37,4,6.61,739.5,,,,174.8,187.3,0.83,0.19,0.81,K0III,2.13,10.4,4749,49.358867,-0.29,,-2.18,7.02,2.94,0.11,,0
hydrogen-rich,222.56,10.08,0.22,2.19,4.7,608.8,,,,48.4,7.9,0.0695,0,0.07,K5V,0.72,0.61,4650,0.157624,-0.15,0.5,-2.07,6.47,1.95,0.12,,0
hydrogen-rich,874.34,10.86,0.68,7.41,8.97,600.8,,,,596.2,13.24,0.1055,0.53,0.09,K1V,0.89,0.79,5075,0.37144,0.26,3,-2.13,7.28,5,0.1,,0
hydrogen-rich,2416.34,11.66,1.52,17.77,14.4,574.9,,,,3683.7,594.9,1.93,0.15,1.91,K0 III,2.7,13.7,4901,97.15603,0.17,0.625,-2.05,10.26,9.84,0.07,,0
hydrogen-rich,810.75,11.46,0.54,6.17,8.41,669.2,,,,436.2,403.5,1.27,0.13,1.26,K1III,1.7,14.3,4528,77.123641,0.12,,-2.12,7.78,4.54,0.1,,0
hydrogen-rich,572.29,11.15,0.41,4.61,7.17,72.6,,,,236.5,691.78,1.15,0.11,1.14,M3.5,0.42,0.25,3510,0.008749,0.36,,16.55,7.27,14.5,0.04,,0
hydrogen-rich,1573.8,11.68,0.99,11.53,11.61,106.2,,,,1553.5,1050.3,1.8,0.33,1.7,M0V,0.6,0.71,3860,0.100405,0.23,,6.47,9.02,19.67,0.04,,0
hydrogen-rich,2079.33,11.68,1.31,15.24,13.34,563.4,,,,2714.2,711,1.93,0.4,1.77,G8.5 III,1.91,13,4975,92.885705,-0.21,1.25,-2.06,9.77,8.85,0.07,,0
hydrogen-rich,791.67,11.45,0.53,6.04,8.32,762.5,,,,417.8,36.96,0.24,0.14,0.24,G0IV,1.38,1.88,6200,4.643354,0.28,2.8,-2.27,7.74,4.07,0.1,,0
hydrogen-rich,861.62,11.5,0.57,6.51,8.65,90.4,,,,487.6,5894,6.7,0.38,6.2,G0,0.94,0.87,5741,0.737698,-0.13,1.17,12.21,7.87,15.45,0.05,,0
hydrogen-rich,858.44,11.5,0.56,6.49,8.64,702.5,,,,484.3,323.6,1.16,0.21,1.13,G8,2,13.5,4683,78.641899,,,-2.15,7.87,4.53,0.1,,0
hydrogen-rich,467.37,10.89,0.36,3.94,6.55,918,,,,169.2,148.6,0.609,0.38,0.56,K0,1.36,12.5,4639,64.924308,-0.17,3.8,-2.25,6.99,2.35,0.11,,0
hydrogen-rich,629.52,11.25,0.44,4.98,7.48,874.7,,,,278.4,144.3,0.72,0.09,0.72,K,2.42,11.6,4945,72.188991,0.03,,-2.25,7.41,3.15,0.11,,0
metals-rich,100.48,7.81,0.21,1.65,3.59,857.3,,,,21.2,18.8,0.148,0,0.15,F,1.22,1.47,6169,2.807913,-0.038,,-2.32,4.92,0.64,0.15,,0
hydrogen-rich,656.11,11.29,0.46,5.15,7.62,615.6,,,,299.2,50.79,0.287,0,0.29,F,1.22,1.47,6169,2.807913,-0.038,,-2.15,7.46,4.21,0.1,,0
hydrogen-rich,922.03,7.84,1.91,15,10.84,1128.3,,,,1764.2,5.33,0.059,0,0.06,G,0.97,1.16,5771,1.339091,-0.13,,-2.37,4.44,4.51,0.13,,0
hydrogen-rich,724.9,11.38,0.49,5.6,7.98,89.2,,,,356.6,2830,3.39,0.2,3.32,WD+M,0.65,,,0.174153,,,13.2,7.61,14.51,0.05,,0
hydrogen-rich,489.63,10.95,0.37,4.08,6.69,1200.7,,,,182.5,121.71,0.5311,0.35,0.5,K3III,1.35,21.8,4284,143.615299,-0.02,,-2.27,7.05,1.93,0.12,,0
hydrogen-rich,798.03,11.45,0.53,6.08,8.35,668.5,,,,423.9,198.44,0.6879,0.07,0.69,K,1.15,6.85,4806,22.459811,-0.2,,-2.14,7.76,4.51,0.1,,0
hydrogen-rich,1219.3,11.65,0.77,8.98,10.23,92.7,,,,940.4,5218,5.76,0.03,5.76,K0IV-V,0.91,0.94,5196,0.581554,0.31,10.2,11.48,8.47,18.81,0.04,,0
hydrogen-rich,1017.41,11.59,0.65,7.57,9.37,718.8,,,,664.8,181.4,0.7,0.03,0.7,K0 III,2.5,8.55,4665,31.06195,-0.03,3.56,-2.16,8.15,5.03,0.09,,0
hydrogen-rich,1335.35,11.67,0.84,9.81,10.7,691,,,,1122.8,578.2,1.3,0,1.3,K5,0.8,17.3,4296,91.461682,-0.46,,-2.11,8.65,6.14,0.08,,0
hydrogen-rich,1348.07,9.41,1.62,15.23,11.97,810.2,,,,2182.4,9.24,0.0902,0.56,0.07,G2V,1.14,0.92,5880,0.907768,0.14,0.1,-2.31,6.42,5.94,0.1,,0
hydrogen-rich,635.88,11.26,0.45,5.02,7.52,13.5,,,,283.3,10000,30,0.81,17.59,M3.5,0.42,0.25,3510,0.008749,0.36,,374.64,7.42,31.98,0,,0
hydrogen-rich,731.26,11.39,0.5,5.64,8.01,53.1,,,,362.2,4100,4.5,0.37,4.18,K7,0.69,0.44,3900,0.039567,0,,32.46,7.62,19.05,0.03,,0
hydrogen-rich,1274.94,11.66,0.8,9.38,10.46,657.6,,,,1025.6,15.77,0.11,0.05,0.11,K1V,0.8,0.85,5350,0.537325,-0.24,2.03,-2.16,8.56,6.15,0.09,,0
metals-rich,187.9,9.26,0.24,2.19,4.5,1047.2,,,,44.4,2.9,0.0387,0,0.04,K,0.92,0.8,5224,0.426576,0.41,1.6,-2.32,5.8,0.96,0.14,,0
hydrogen-rich,2303.79,9.71,2.52,24.43,15.4,888.3,,,,5796.6,2.88,0.0361,0.01,0.04,K7,0.76,0.69,4595,0.192642,0.35,6.7,-2.23,7.94,8.26,0.08,,0
metals-rich,84.89,9.24,0.11,0.99,3.03,987,,,,9.1,4.64,0.0523,0.07,0.05,G,0.89,0.92,5330,0.616882,0.06,10.1,-2.32,6.7,0.13,0.12,,0
hydrogen-rich,241.63,10.57,0.2,2.16,4.78,749.1,,,,49.4,3.8,0.0412,0.07,0.04,K,0.65,0.62,4390,0.126858,-0.127,3.9,-2.15,6.9,1.64,0.12,,0
metals-rich,101.42,11.18,0.07,0.81,3.01,651.3,,,,7.4,3.33,0.0362,0,0.04,M1V,0.57,0.57,3724,0.056063,,,-2.04,8.52,0.55,0.1,,0
hydrogen-rich,1685.08,11.68,1.06,12.34,12.01,96.6,,,,1780.3,6005,6.8,0.21,6.65,G1 IV,1.1,0.86,6180,0.967923,0.04,5.93,11.49,9.18,21.72,0.04,,0
hydrogen-rich,966.54,11.57,0.62,7.22,9.14,840.5,,,,603.6,157.54,0.59,0.01,0.59,K1III,1.13,10.22,4580,41.233823,-0.15,5.83,-2.21,8.06,4.37,0.1,,0
hydrogen-rich,604.09,11.21,0.43,4.81,7.34,1017.7,,,,259.4,6.28,0.071,0.14,0.07,G0,1.2,1.14,5767,1.289732,0.24,6.78,-2.35,7.35,2.71,0.11,,0
hydrogen-rich,594.55,11.19,0.42,4.75,7.29,1204.5,,,,252.4,2.55,0.037,0.03,0.04,G8/K0,1.05,0.89,5570,0.684054,0.29,0.83,-2.37,7.32,2.33,0.11,,0
hydrogen-rich,858.44,11.5,0.56,6.49,8.64,839.6,,,,484.3,184.02,0.81,0,0.81,K0III-IV,2.1,13,4753,77.383406,-0.359,,-2.23,7.87,4.03,0.1,,0
hydrogen-rich,922.03,11.54,0.6,6.92,8.94,756.4,,,,552.7,176.3,0.76,0.11,0.76,K0,1.9,9.9,4757,45.029051,-0.14,,-2.19,7.98,4.54,0.1,,0
metals-rich,113.19,8.04,0.22,1.75,3.75,1601.5,,,,24.6,2.88,0.0429,0,0.04,G0 IV,1.3,1.5,6147,2.87069,0.36,2,-2.45,5.04,0.08,0.15,,0
hydrogen-rich,1122.33,11.63,0.71,8.3,9.82,80,,,,801.4,8100,5.42,0.73,3.68,K0IV,0.32,0.73,5150,0.334719,,,11.72,8.32,17.17,0.04,,0
hydrogen-rich,2435.1,11.66,1.54,17.92,14.45,549,,,,3742.6,58.11,0.2931,0.53,0.25,G5,0.99,1.51,5591,1.998949,0.04,9.8,-2.09,10.29,9.61,0.07,,0
hydrogen-rich,1875.85,11.68,1.18,13.74,12.67,101.9,,,,2206.3,5646,6.18,0.29,5.91,Catac. var.,1,,,1,,,9.31,9.47,22.2,0.04,,0
metals-rich,45.12,11.09,0.03,0.37,2.02,699.6,,,,1.5,19.22,0.143,0.06,0.14,G,1,1.1,5722,1.163769,0.17,3,-2.21,10.13,-0.26,0.09,,0
hydrogen-rich,699.47,11.35,0.48,5.43,7.85,75.5,,,,334.7,,0.76,0,0.76,M,0.18,0.15,3840,0.004455,,,15.75,7.56,15.74,0.04,,0
hydrogen-rich,890.23,11.52,0.58,6.7,8.79,885.4,,,,517.8,136.75,0.68,0,0.68,G9IIIb,2.2,12,4780,67.447201,-0.205,,-2.24,7.93,3.98,0.1,,0
hydrogen-rich,1303.55,11.66,0.82,9.58,10.57,92.6,,,,1071.1,,3.3,0,3.3,,0.66,,,0.189747,,,12.3,8.61,19.51,0.04,,0
hydrogen-rich,883.87,11.52,0.58,6.66,8.76,83,,,,511,2987.74,3.39,0,3.39,B D,0.6,0.01,33000,0.1296,,,18.29,7.91,16.86,0.04,,0
hydrogen-rich,588.19,11.18,0.42,4.71,7.25,21.1,,,,247.8,,0.87,0,0.87,,0.02,,,0.000035,,,282.43,7.31,28.82,0,,0
hydrogen-rich,826.64,11.48,0.55,6.27,8.49,71.1,,,,451.9,,5.1,0,5.1,,0.63,,,0.15753,,,22.57,7.81,17.73,0.03,,0
hydrogen-rich,586.28,11.17,0.42,4.7,7.24,1222.8,,,,246.4,2.15,0.032,0,0.03,G,0.95,0.87,5326,0.543919,0.187,0.578,-2.36,7.3,2.28,0.11,,0
hydrogen-rich,794.85,11.45,0.53,6.06,8.33,71.7,,,,420.8,36525,23,0,23,,1.35,,,3.321506,,,22.13,7.75,17.29,0.03,,0
hydrogen-rich,1208.17,9.07,1.62,14.68,11.54,1347.1,,,,1955,4.2,0.055,0,0.06,,1.24,1.18,,2.364214,,,-2.4,5.93,4.35,0.11,,0
metals-rich,77.23,9.42,0.09,0.87,2.86,910.6,,,,7.1,3.92,0.0457,0.03,0.05,K4V,0.82,0.85,4800,0.340875,0.11,15,-2.25,7.05,0.1,0.12,,0
hydrogen-rich,158.97,12.1,0.09,1.09,3.63,615.1,,,,14.3,4.98,0.0458,0.06,0.05,,0.52,,,0.071328,,,-2.14,8.81,1.09,0.1,,0
hydrogen-rich,220.65,10.55,0.19,1.98,4.57,729.8,,,,41.5,8.52,0.0771,0,0.08,K0,0.84,0.75,5314,0.400294,0,1,-2.21,6.94,1.54,0.12,,0
hydrogen-rich,1694.62,11.68,1.06,12.41,12.04,772.6,,,,1800.5,185.84,0.83,0,0.83,K0III,2.2,11,4813,58.25573,-0.24,,-2.2,9.2,6.65,0.08,,0
hydrogen-rich,1233.61,11.65,0.78,9.09,10.29,789.4,,,,961.9,479.1,1.19,0.38,1.1,K1.5III,0.98,22.03,4200,135.492709,-0.46,9.49,-2.17,8.5,5.18,0.09,,0
hydrogen-rich,415.87,9.91,0.43,4.23,6.48,1166.5,,,,177.6,4.04,0.051,0,0.05,G0V,1.09,1.01,5945,1.143247,0.01,1.64,-2.39,6.07,1.94,0.13,,0
hydrogen-rich,270.25,10.08,0.26,2.66,5.18,1113.7,,,,71.3,2.85,0.039,0.08,0.04,KOV,0.98,0.9,5260,0.556311,0.2,4.5,-2.34,6.35,1.27,0.13,,0
hydrogen-rich,953.82,11.56,0.62,7.14,9.08,47.9,,,,588.8,320000,115,0.11,114.3,A3 V,1.92,1.84,8590,16.574551,,0.44,59.73,8.04,23.59,0.02,,0
hydrogen-rich,953.82,11.56,0.62,7.14,9.08,62.7,,,,588.8,4400,5.2,0.2,5.09,M0V,0.6,0.71,3860,0.100405,0.23,,23.5,8.04,20.3,0.03,,0
metals-rich,66.92,10.69,0.05,0.59,2.5,875.4,,,,3.7,3.21,0.0384,0,0.04,K,0.73,0.7,4650,0.205541,-0.29,2.5,-2.23,8.75,-0.09,0.1,,0
hydrogen-rich,169.78,11.31,0.12,1.33,3.87,707.1,,,,19.9,10.34,0.0882,0.35,0.08,K,0.86,0.84,5246,0.476051,0,7.8,-2.2,7.94,1.03,0.11,,0
metals-rich,58.18,10.61,0.05,0.52,2.34,768.5,,,,2.8,5.51,0.0559,0.11,0.06,K,0.77,0.72,4870,0.259444,0.1,12.4,-2.2,8.95,-0.1,0.1,,0
metals-rich,75.35,10.21,0.07,0.72,2.72,937.5,,,,5.3,4.76,0.0542,0.02,0.05,G,0.94,0.87,5304,0.538692,0.19,3.6,-2.3,7.98,-0.01,0.11,,0
metals-rich,43.88,9.78,0.05,0.46,2.12,1196.6,,,,2.1,3.58,0.0467,0.38,0.04,G2V,1.06,1.09,5679,1.100619,0.21,5.1,-2.38,8.58,-0.57,0.1,,0
hydrogen-rich,1939.43,11.68,1.22,14.21,12.88,674.4,,,,2359,533,1.3,0.64,1,K1III,1.09,16.7,4393,93.189619,-0.32,6.7,-2.15,9.56,7.12,0.08,,0
metals-rich,104.92,11.09,0.08,0.85,3.08,696.7,,,,8.1,18.18,0.168,0.46,0.15,G3V,1.24,1.2,5995,1.668819,0.366,3.2,-2.24,8.37,0.44,0.1,,0
hydrogen-rich,1589.7,11.68,1,11.65,11.67,735.5,,,,1584.9,430,1.61,0.2,1.58,K1 III,0.94,23.47,4380,181.891516,-0.68,9.33,-2.15,9.04,6.53,0.08,,0
hydrogen-rich,1669.19,11.68,1.05,12.23,11.95,728.2,,,,1746.9,303,0.911,0,0.91,K2 III,1.1,11.62,5150,55.408405,,,-2.2,9.16,6.83,0.08,,0
hydrogen-rich,3847.07,11.46,2.56,29.31,18.32,99,,,,9840.6,2754,3.6,0.53,3.05,K0V,0.82,0.76,4980,0.318738,0.093,9.8,8.14,12.21,32.11,0.03,,0
hydrogen-rich,1592.88,11.68,1,11.67,11.68,734.6,,,,1591.2,482,1.28,0.11,1.27,K0,1.2,20,4218,113.599432,-0.18,5.5,-2.13,9.04,6.58,0.08,,0
hydrogen-rich,1271.76,11.66,0.8,9.36,10.44,910.1,,,,1020.6,647.3,1.4,0.3,1.34,K2III,0.91,35,4152,326.629446,-0.24,,-2.2,8.56,4.87,0.09,,0
hydrogen-rich,3525.95,11.51,2.31,26.6,17.5,603.9,,,,8144.6,835.48,2.14,0.46,1.9,K2III,2.17,20.9,4445,152.992288,0.19,0.95,-2.08,11.79,11.54,0.06,,0
hydrogen-rich,1179.56,11.64,0.75,8.7,10.07,868.8,,,,881.9,344.95,1.02,0.68,0.75,K3III,1.39,22.9,4300,160.855015,-0.05,3.11,-2.22,8.41,4.28,0.09,,0
hydrogen-rich,6994.68,10.81,5.54,59.89,25.44,553.4,,,,38762.4,396.03,1.4,0.26,1.35,K0,2.6,9.2,4917,44.388071,0.2,,-2.03,16.05,18.96,0.04,,0
hydrogen-rich,1176.38,11.64,0.75,8.68,10.05,804.6,,,,877.3,18.2,0.1388,0.01,0.14,G3 IV-V,1.06,1.38,5787,1.916293,0.08,5.33,-2.28,8.41,5.12,0.09,,0
hydrogen-rich,1233.61,11.65,0.78,9.09,10.29,918.2,,,,961.9,6.67,0.0692,0.14,0.07,G5,0.99,1,5485,0.812075,0.26,,-2.31,8.5,4.81,0.09,,0
hydrogen-rich,2861.46,11.61,1.83,21.22,15.7,104,,,,5227.6,18000,14.5,0,14.5,A5V,1.56,1.5,9790,5.847799,-0.47,0.06,10.72,10.89,28.02,0.03,,0
hydrogen-rich,4451.16,13.44,1.83,24.64,18.2,102.2,,,,8161.1,,55,0,55,B9IV,2.8,2.29,11361,78.383925,-0.36,0.03,11.2,15.85,33.07,0.03,,0
metals-rich,209.84,10.75,0.17,1.82,4.42,1027.9,,,,35.4,4.94,0.0571,0,0.06,G,1.02,0.99,5595,0.865194,0.36,,-2.34,7.18,0.93,0.12,,0
metals-rich,155.79,9.42,0.19,1.76,4.07,1399.9,,,,29,1.86,0.029,0,0.03,G2V,0.94,0.89,5731,0.76664,-0.09,7.4,-2.41,6.13,0.37,0.13,,0
metals-rich,160.56,10.75,0.13,1.39,3.86,800.7,,,,20.7,2.46,0.027,0.11,0.03,M,0.56,0.53,4098,0.071346,0.08,,-2.15,7.44,0.91,0.11,,0
metals-rich,180.91,9.86,0.19,1.86,4.28,1079.9,,,,34.2,21.4,0.1652,0,0.17,K,1.32,4.23,4840,8.809515,0.2,3.5,-2.3,6.42,0.79,0.13,,0
hydrogen-rich,3147.61,11.54,2.05,23.65,16.52,762.3,,,,6453.5,8.88,0.08,0.57,0.07,G8V,0.88,0.88,5330,0.560743,-0.07,6,-2.26,11.23,9.16,0.06,,0
metals-rich,52.14,11.2,0.04,0.42,2.16,854.3,,,,1.9,22.34,0.165,0,0.17,F,1.25,1.66,6116,3.442552,-0.01,3.9,-2.31,9.9,-0.3,0.09,,0
hydrogen-rich,327.48,9.97,0.33,3.3,5.73,1112.8,,,,108.3,3.31,0.044,0,0.04,G,1.01,0.94,5460,0.704557,0.44,,-2.35,6.17,1.59,0.13,,0
hydrogen-rich,826.64,11.48,0.55,6.27,8.49,50.6,,,,451.9,1970,1.8,0,1.8,M,0.19,0.16,3840,0.005045,,,37.86,7.81,21.33,0.02,,0
hydrogen-rich,1176.38,11.64,0.75,8.68,10.05,66.3,,,,877.3,,8.3,0,8.3,,0.75,,,0.316406,,,26.29,8.41,22.13,0.03,,0
hydrogen-rich,1112.79,11.62,0.71,8.24,9.78,61.8,,,,788.4,3600,3.6,0,3.6,,0.46,,,0.044775,,,30.69,8.3,22.34,0.03,,0
hydrogen-rich,867.98,11.51,0.57,6.55,8.68,60.4,,,,494.2,,3.45,0,3.45,,0.44,,,0.037481,,,32.26,7.89,19.88,0.03,,0
hydrogen-rich,734.44,10.54,0.63,6.61,8.35,916.3,,,,460.8,3.16,0.0373,0,0.04,K5,0.69,0.84,4400,0.233313,-0.03,,-2.22,6.83,3.6,0.11,,0
hydrogen-rich,1335.35,11.67,0.84,9.81,10.7,68.8,,,,1122.8,4350,5.3,0,5.3,DAZ8+dM,0.62,,,0.149679,,,24.23,8.65,23.2,0.03,,0
hydrogen-rich,281.06,10.77,0.22,2.42,5.11,1024,,,,63.2,2.94,0.0376,0.06,0.04,K1V,0.78,0.77,5150,0.369353,,,-2.31,7,1.35,0.12,,0
metals-rich,158.97,10.08,0.16,1.56,3.97,1205.9,,,,24.7,4.3,0.0531,0,0.05,G1V,1.08,1.14,5900,1.412888,-0.04,3.6,-2.39,6.77,0.48,0.12,,0
hydrogen-rich,176.14,10.66,0.15,1.55,4.06,779.6,,,,25.6,3.07,0.0346,0.07,0.03,K7V,0.58,0.63,4145,0.105116,-0.14,,-2.15,7.25,1.08,0.12,,0
hydrogen-rich,6358.8,11.2,4.53,50.69,23.83,14.4,,,,28780.4,,52,0,52,M3.5,0.4,0.38,3840,0.027955,,0.12,490.45,15.72,119.46,0,,0
hydrogen-rich,9538.2,10.86,7.44,80.81,29.63,16.8,,,,70951.8,4640,2.897,0.49,2.53,M,0.12,0.09,2205,0.000168,,,294.42,20.19,132.41,0,,0
hydrogen-rich,1271.76,11.66,0.8,9.36,10.44,8.3,,,,1020.6,,46,0,46,M8,0.03,0.25,2550,0.002371,,0.008,1339.21,8.56,68.4,0,,0
hydrogen-rich,6358.8,10.3,5.81,59.89,24.84,17,,,,36960.1,7340,3.53,0.26,3.41,M,0.08,0.1,2300,0.000251,,,308.66,14.27,113.5,0,,0
metals-rich,146.25,11.54,0.1,1.1,3.56,1451.7,,,,13.9,3.49,0.046,0.01,0.05,G4 V,0.99,1.71,5400,2.230782,0.5,4.18,-2.39,8.35,0.08,0.1,,0
hydrogen-rich,1939.43,11.68,1.22,14.21,12.88,994.9,,,,2359,522.3,1.4,0.19,1.37,K4III,1.4,42.06,4126,459.986643,-0.27,2.95,-2.21,9.56,6.12,0.08,,0
hydrogen-rich,6921.55,11.31,4.78,54.09,24.74,1453.4,,,,33097,4.26,0.057,0,0.06,F3V,1.41,1.44,6558,3.441126,0.14,2,-2.45,16.8,10.81,0.05,,0
hydrogen-rich,772.59,11.42,0.52,5.92,8.22,1486.4,,,,400.4,3.77,0.0461,0,0.05,G2V,1.04,1.59,5740,2.462247,0,10.7,-2.41,7.7,2.39,0.11,,0
metals-rich,85.84,12.1,0.05,0.59,2.66,1208.4,,,,4.2,4.86,0.0578,0,0.06,G0V,1.09,1.19,6040,1.690953,-0.01,5.2,-2.4,9.82,-0.25,0.09,,0
hydrogen-rich,3303.4,11.28,2.3,25.97,17.11,1238.8,,,,7606.4,3.58,0.0476,0.07,0.05,G2,1.05,1.08,5900,1.268076,0.1,4.21,-2.4,11.16,7.66,0.07,,0
metals-rich,153.88,10.7,0.13,1.35,3.79,1247.1,,,,19.4,5.21,0.059,0.05,0.06,G8/9IV,1.01,1.78,5150,1.999672,0.15,12,-2.35,7.43,0.35,0.11,,0
hydrogen-rich,1923.54,11.68,1.21,14.09,12.83,60.8,,,,2320.3,10230,8.19,0.39,7.54,AM Her,0.69,0.17,9790,0.226671,,,33.96,9.54,29.27,0.02,,0
hydrogen-rich,2130.2,11.68,1.34,15.62,13.51,780.2,,,,2850,417.9,1.3,0.11,1.29,K2III,1.7,21,4406,149.109888,-0.094,1.74,-2.17,9.84,7.6,0.07,,0
hydrogen-rich,1271.76,11.66,0.8,9.36,10.44,47,,,,1020.6,,43.5,0,43.5,GOV,1.22,1.28,6234,2.193053,0.28,0.16,57.94,8.56,27.72,0.02,,0
hydrogen-rich,2778.8,10.65,2.3,24.49,16.15,1327.6,,,,6390.2,5.63,0.0674,0.52,0.06,F8,1.34,1.54,6414,3.6012,0.04,2.7,-2.44,9.64,6.44,0.08,,0
hydrogen-rich,618.71,12.01,0.36,4.29,7.18,819.9,,,,221.2,10.86,0.0964,0.19,0.09,G5,1.01,1.08,5568,1.005852,0.22,6.8,-2.28,8.11,3.09,0.1,,0
metals-rich,92.84,12.68,0.05,0.58,2.71,922.7,,,,4.2,4.01,0.0466,0.07,0.05,K,0.84,0.82,4990,0.374041,0.23,8.8,-2.27,10.3,-0.01,0.09,,0
hydrogen-rich,1291.79,11.47,0.86,9.82,10.61,1161.5,,,,1106.2,4.12,0.0494,0.23,0.05,G3,0.95,1.1,5588,1.068169,0.01,10.2,-2.37,8.4,4.24,0.09,,0
hydrogen-rich,682.62,12.1,0.39,4.67,7.51,1171.7,,,,263.3,3.21,0.0414,0.02,0.04,G5,0.92,1.04,5302,0.766859,0.24,12.4,-2.35,8.25,2.51,0.1,,0
metals-rich,209.84,11.82,0.13,1.5,4.21,1102.7,,,,26.7,3.04,0.0403,0.08,0.04,G8,0.94,0.9,5300,0.570881,0.29,4.4,-2.34,8.22,0.72,0.1,,0
hydrogen-rich,690.25,11.98,0.4,4.81,7.59,1324.7,,,,276.8,5.01,0.055,0.24,0.05,F,1.22,1.36,6065,2.245385,0.15,3.17,-2.42,8.15,2.26,0.1,,0
hydrogen-rich,260.07,11.3,0.18,2.04,4.8,1112.2,,,,46.9,2.75,0.0369,0.05,0.04,K,0.89,0.89,5131,0.495908,0.28,9.4,-2.33,7.55,1.05,0.11,,0
hydrogen-rich,420.63,11.42,0.28,3.22,6.07,1204.2,,,,118.7,2.52,0.0362,0.01,0.04,G,1,0.93,5403,0.654204,0.43,2.1,-2.36,7.49,1.65,0.11,,0
